Num,Num_Back,Num_SQ,NUM_BACK_SQ
0,11,11,121,121
1,12,21,144,441
2,13,31,169,961
3,21,12,441,144
4,22,22,484,484
5,31,13,961,169
6,101,101,10201,10201
7,102,201,10404,40401
8,103,301,10609,90601
9,111,111,12321,12321
10,112,211,12544,44521
11,113,311,12769,96721
12,121,121,14641,14641
13,122,221,14884,48841
14,201,102,40401,10404
15,202,202,40804,40804
16,211,112,44521,12544
17,212,212,44944,44944
18,221,122,48841,14884
19,301,103,90601,10609
20,311,113,96721,12769
21,1001,1001,1002001,1002001
22,1002,2001,1004004,4004001
23,1003,3001,1006009,9006001
24,1011,1101,1022121,1212201
25,1012,2101,1024144,4414201
26,1013,3101,1026169,9616201
27,1021,1201,1042441,1442401
28,1022,2201,1044484,4844401
29,1031,1301,1062961,1692601
30,1101,1011,1212201,1022121
31,1102,2011,1214404,4044121
32,1103,3011,1216609,9066121
33,1111,1111,1234321,1234321
34,1112,2111,1236544,4456321
35,1113,3111,1238769,9678321
36,1121,1211,1256641,1466521
37,1122,2211,1258884,4888521
38,1201,1021,1442401,1042441
39,1202,2021,1444804,4084441
40,1211,1121,1466521,1256641
41,1212,2121,1468944,4498641
42,1301,1031,1692601,1062961
43,2001,1002,4004001,1004004
44,2002,2002,4008004,4008004
45,2011,1102,4044121,1214404
46,2012,2102,4048144,4418404
47,2021,1202,4084441,1444804
48,2022,2202,4088484,4848804
49,2101,1012,4414201,1024144
50,2102,2012,4418404,4048144
51,2111,1112,4456321,1236544
52,2121,1212,4498641,1468944
53,2201,1022,4844401,1044484
54,2202,2022,4848804,4088484
55,2211,1122,4888521,1258884
56,3001,1003,9006001,1006009
57,3011,1103,9066121,1216609
58,3101,1013,9616201,1026169
59,3111,1113,9678321,1238769
60,10001,10001,100020001,100020001
61,10002,20001,100040004,400040001
62,10003,30001,100060009,900060001
63,10011,11001,100220121,121022001
64,10012,21001,100240144,441042001
65,10013,31001,100260169,961062001
66,10021,12001,100420441,144024001
67,10022,22001,100440484,484044001
68,10031,13001,100620961,169026001
69,10101,10101,102030201,102030201
70,10102,20101,102050404,404050201
71,10103,30101,102070609,906070201
72,10111,11101,102232321,123232201
73,10112,21101,102252544,445252201
74,10113,31101,102272769,967272201
75,10121,12101,102434641,146434201
76,10122,22101,102454884,488454201
77,10201,10201,104060401,104060401
78,10202,20201,104080804,408080401
79,10211,11201,104264521,125462401
80,10212,21201,104284944,449482401
81,10221,12201,104468841,148864401
82,11001,10011,121022001,100220121
83,11002,20011,121044004,400440121
84,11003,30011,121066009,900660121
85,11011,11011,121242121,121242121
86,11012,21011,121264144,441462121
87,11013,31011,121286169,961682121
88,11021,12011,121462441,144264121
89,11022,22011,121484484,484484121
90,11031,13011,121682961,169286121
91,11101,10111,123232201,102232321
92,11102,20111,123254404,404452321
93,11103,30111,123276609,906672321
94,11111,11111,123454321,123454321
95,11112,21111,123476544,445674321
96,11113,31111,123498769,967894321
97,11121,12111,123676641,146676321
98,11122,22111,123698884,488896321
99,11201,10211,125462401,104264521
100,11202,20211,125484804,408484521
101,11211,11211,125686521,125686521
102,12001,10021,144024001,100420441
103,12002,20021,144048004,400840441
104,12011,11021,144264121,121462441
105,12012,21021,144288144,441882441
106,12101,10121,146434201,102434641
107,12102,20121,146458404,404854641
108,12111,11121,146676321,123676641
109,12201,10221,148864401,104468841
110,12202,20221,148888804,408888841
111,13001,10031,169026001,100620961
112,13011,11031,169286121,121682961
113,20001,10002,400040001,100040004
114,20002,20002,400080004,400080004
115,20011,11002,400440121,121044004
116,20012,21002,400480144,441084004
117,20021,12002,400840441,144048004
118,20022,22002,400880484,484088004
119,20101,10102,404050201,102050404
120,20102,20102,404090404,404090404
121,20111,11102,404452321,123254404
122,20112,21102,404492544,445294404
123,20121,12102,404854641,146458404
124,20122,22102,404894884,488498404
125,20201,10202,408080401,104080804
126,20211,11202,408484521,125484804
127,20221,12202,408888841,148888804
128,21001,10012,441042001,100240144
129,21002,20012,441084004,400480144
130,21011,11012,441462121,121264144
131,21021,12012,441882441,144288144
132,21101,10112,445252201,102252544
133,21102,20112,445294404,404492544
134,21111,11112,445674321,123476544
