,Num,Num_Back,Num_SQ,NUM_BACK_SQ
0,22,22,484,484
1,31,13,961,169
2,101,101,10201,10201
3,102,201,10404,40401
4,103,301,10609,90601
5,111,111,12321,12321
6,112,211,12544,44521
7,113,311,12769,96721
8,121,121,14641,14641
9,122,221,14884,48841
10,201,102,40401,10404
11,202,202,40804,40804
12,211,112,44521,12544
13,212,212,44944,44944
14,221,122,48841,14884
15,301,103,90601,10609
16,311,113,96721,12769
17,1001,1001,1002001,1002001
18,1002,2001,1004004,4004001
19,1003,3001,1006009,9006001
20,1011,1101,1022121,1212201
21,1012,2101,1024144,4414201
22,1013,3101,1026169,9616201
23,1021,1201,1042441,1442401
24,1022,2201,1044484,4844401
25,1031,1301,1062961,1692601
26,1101,1011,1212201,1022121
27,1102,2011,1214404,4044121
28,1103,3011,1216609,9066121
29,1111,1111,1234321,1234321
30,1112,2111,1236544,4456321
31,1113,3111,1238769,9678321
32,1121,1211,1256641,1466521
33,1122,2211,1258884,4888521
34,1201,1021,1442401,1042441
35,1202,2021,1444804,4084441
36,1211,1121,1466521,1256641
37,1212,2121,1468944,4498641
38,1301,1031,1692601,1062961
39,2001,1002,4004001,1004004
40,2002,2002,4008004,4008004
41,2011,1102,4044121,1214404
42,2012,2102,4048144,4418404
43,2021,1202,4084441,1444804
44,2022,2202,4088484,4848804
45,2101,1012,4414201,1024144
46,2102,2012,4418404,4048144
47,2111,1112,4456321,1236544
48,2121,1212,4498641,1468944
49,2201,1022,4844401,1044484
50,2202,2022,4848804,4088484
51,2211,1122,4888521,1258884
52,3001,1003,9006001,1006009
53,3011,1103,9066121,1216609
54,3101,1013,9616201,1026169
55,3111,1113,9678321,1238769
56,10001,10001,100020001,100020001
57,10002,20001,100040004,400040001
58,10003,30001,100060009,900060001
59,10011,11001,100220121,121022001
60,10012,21001,100240144,441042001
61,10013,31001,100260169,961062001
62,10021,12001,100420441,144024001
63,10022,22001,100440484,484044001
64,10031,13001,100620961,169026001
65,10101,10101,102030201,102030201
66,10102,20101,102050404,404050201
67,10103,30101,102070609,906070201
68,10111,11101,102232321,123232201
69,10112,21101,102252544,445252201
70,10113,31101,102272769,967272201
71,10121,12101,102434641,146434201
72,10122,22101,102454884,488454201
73,10201,10201,104060401,104060401
74,10202,20201,104080804,408080401
75,10211,11201,104264521,125462401
76,10212,21201,104284944,449482401
77,10221,12201,104468841,148864401
78,11001,10011,121022001,100220121
79,11002,20011,121044004,400440121
80,11003,30011,121066009,900660121
81,11011,11011,121242121,121242121
82,11012,21011,121264144,441462121
83,11013,31011,121286169,961682121
84,11021,12011,121462441,144264121
85,11022,22011,121484484,484484121
86,11031,13011,121682961,169286121
87,11101,10111,123232201,102232321
88,11102,20111,123254404,404452321
89,11103,30111,123276609,906672321
90,11111,11111,123454321,123454321
91,11112,21111,123476544,445674321
92,11113,31111,123498769,967894321
93,11121,12111,123676641,146676321
94,11122,22111,123698884,488896321
95,11201,10211,125462401,104264521
96,11202,20211,125484804,408484521
97,11211,11211,125686521,125686521
98,12001,10021,144024001,100420441
99,12002,20021,144048004,400840441
100,12011,11021,144264121,121462441
101,12012,21021,144288144,441882441
102,12101,10121,146434201,102434641
103,12102,20121,146458404,404854641
104,12111,11121,146676321,123676641
105,12201,10221,148864401,104468841
106,12202,20221,148888804,408888841
107,13001,10031,169026001,100620961
108,13011,11031,169286121,121682961
109,20001,10002,400040001,100040004
110,20002,20002,400080004,400080004
111,20011,11002,400440121,121044004
112,20012,21002,400480144,441084004
113,20021,12002,400840441,144048004
114,20022,22002,400880484,484088004
115,20101,10102,404050201,102050404
116,20102,20102,404090404,404090404
117,20111,11102,404452321,123254404
118,20112,21102,404492544,445294404
119,20121,12102,404854641,146458404
120,20122,22102,404894884,488498404
121,20201,10202,408080401,104080804
122,20211,11202,408484521,125484804
123,20221,12202,408888841,148888804
124,21001,10012,441042001,100240144
125,21002,20012,441084004,400480144
126,21011,11012,441462121,121264144
127,21021,12012,441882441,144288144
128,21101,10112,445252201,102252544
129,21102,20112,445294404,404492544
130,21111,11112,445674321,123476544
131,21201,10212,449482401,104284944
132,22001,10022,484044001,100440484
133,22002,20022,484088004,400880484
134,22011,11022,484484121,121484484
135,22101,10122,488454201,102454884
136,22102,20122,488498404,404894884
137,22111,11122,488896321,123698884
138,30001,10003,900060001,100060009
139,30011,11003,900660121,121066009
140,30101,10103,906070201,102070609
141,30111,11103,906672321,123276609
142,31001,10013,961062001,100260169
143,31011,11013,961682121,121286169
144,31101,10113,967272201,102272769
145,31111,11113,967894321,123498769
146,100001,100001,10000200001,10000200001
147,100002,200001,10000400004,40000400001
148,100003,300001,10000600009,90000600001
149,100011,110001,10002200121,12100220001
150,100012,210001,10002400144,44100420001
151,100013,310001,10002600169,96100620001
152,100021,120001,10004200441,14400240001
153,100022,220001,10004400484,48400440001
154,100031,130001,10006200961,16900260001
155,100101,101001,10020210201,10201202001
156,100102,201001,10020410404,40401402001
157,100103,301001,10020610609,90601602001
158,100111,111001,10022212321,12321222001
159,100112,211001,10022412544,44521422001
160,100113,311001,10022612769,96721622001
161,100121,121001,10024214641,14641242001
162,100122,221001,10024414884,48841442001
163,100201,102001,10040240401,10404204001
164,100202,202001,10040440804,40804404001
165,100211,112001,10042244521,12544224001
166,100212,212001,10042444944,44944424001
167,100221,122001,10044248841,14884244001
168,100301,103001,10060290601,10609206001
169,100311,113001,10062296721,12769226001
170,101001,100101,10201202001,10020210201
171,101002,200101,10201404004,40040410201
172,101003,300101,10201606009,90060610201
173,101011,110101,10203222121,12122230201
174,101012,210101,10203424144,44142430201
